rxn_id,has_energy,energy_source,atp_synthase_heuristic,abc_transporter_heuristic,stored_bounds_heuristic,mmdeltag_band_heuristic,low_energy_heuristic,default_heuristic,cascade_winner,cascade_operator
rxn17373,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17374,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17375,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17376,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17377,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17378,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17379,1,eQuilibrator,-,-,<,-,-,=,stored_bounds_heuristic,<
rxn17380,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17381,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17382,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17383,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17384,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn17385,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17386,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17387,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17388,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17389,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17390,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17391,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn17392,1,eQuilibrator,-,-,-,-,>,=,low_energy_heuristic,>
rxn17393,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17394,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17395,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17396,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17397,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17398,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17399,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17400,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn17401,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn17402,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17403,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17404,1,Group contribution,-,-,-,-,-,=,default_heuristic,=
rxn17405,1,Group contribution,-,-,-,-,-,=,default_heuristic,=
rxn17406,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17407,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17408,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17409,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17410,0,,-,-,NA,NA,NA,=,default_heuristic,=
