rxn_id,has_energy,energy_source,atp_synthase_heuristic,abc_transporter_heuristic,stored_bounds_heuristic,mmdeltag_band_heuristic,low_energy_heuristic,default_heuristic,cascade_winner,cascade_operator
rxn17960,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17961,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17962,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17963,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17964,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17965,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17966,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17967,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17968,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17969,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17970,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17971,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17972,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17973,0,,-,-,NA,NA,NA,=,default_heuristic,=
